打入市场,Enter the market,第一个～,dǎ rù shì cháng,E S
市场份额,Market share,最大的～,shì cháng fèn é,E N
开拓市场,Expand the market,,kāi tuò shì cháng,E AC
S T A I,Spring up in great multitudes,如～涌现,yǔ hòu chūn sǔn,AC S T A
一席之地,A standing / role to play ,在市场上占有～,yī xí zhī dì,E S AC
秘诀,Secret technique,成功的～,mì jué,B A
申诉,Complain,,shēn sù,B AC
预算案公布,Annual budget (announcement),,yù suàn àn gōng bù,N E S
贫富悬殊,Wide wealth gap,造成社会～,pín fù xuán shū,N E S
患得患失,Worry about gains and losses,～的心理,huàn dé huàn shī,B I A
霸位,Chope,～的行为,bà wèi,S AC N
泛滥,Overflow (passive bad),信息～；情感～,fàn làn,AC S
肆虐,Go beyond control (agressive),病毒～； 恐怖分子～,sì nüè,AC S
虐待,Illtreat,,nüè dài,AC B
放肆,Go wild,,fàng sì,AC B
肆无忌惮,Wild without fear,他也太～,sì wú jì dàn,B A
大肆,Without restraint,～抢夺；～屠杀,dà sì,A B
探索,"Explore, recce",～踩点,tàn suǒ,AC
探讨,Debate,～问题；～话题,tàn tǎo,AC S
释放,Emit,～有毒气体；～人质,shì fàng,EV AC
如释重负,Relieved,,rú shì zhòng fù,B
发放,"Spread, give out",～补贴,fā fàng,AC
新陈代谢,Metabolism,身体～,xīn chén dài xiè,N B
左右,"Sway, influence",～思想；～决定,zuǒ yòu,B SM S AC
启发,Elighten,受到～；～了我,qǐ fā,AC S
引发,Trigger,～疑虑；～不满,yǐn fā,AC S B
分离,Seperate,,fēn lí,S AC
分化,(Social) Divide,社会～,fēn huà,S
动荡,Unstable / chaotic,社会～,dòng dàng,S A
分野,Clear division (bad),,fēn yě,S
流通,Circulation,空气～；钱～,liú tōng,AC
通用,Universal,,tōng yòng,A
普及,Far-reaching (Noun and verb),～教育；～知识；手机～,pǔ jí,AC A
普遍,Widely spread / common,,pǔ biàn,AC A
畅销,Well selling,物品～,chàng xiāo,E A
滞销,unsaleable,物品～,zhì xiāo,E A
舒畅,Comfortable,心情～,shū chàng,B A
流畅,Smooth,空气～,liú chàng,A
见仁见智,Differernt people have differnt views,,jiàn rén jiàn zhì,B S
平分秋色,Equal ability,对手～,píng fēn qiū sè,M
耐人寻味,Intriguing,他受的话～,nài rén xún wèi,M
探查,Search,～真相,tàn chá,AC
检讨,Reflect,,jiǎn tǎo,AC
商讨,Neogotiate,,shāng tǎo,AC
颠覆,Overthrow / Overturn,～政权；～思想；～价值观,diān fù,AC B S
衰弱,Deteriorate,健康～,shuāi ruò,AC A
触屏,Touch screen,,chù píng,T N
下单,Take order,点餐机～,xià dān,AC S
简化,simplify,～工作,jiǎn huà,AC S
生产力,Productivity,提高～,shēng chǎn lì,S E
星罗棋布,Dotted all over the place / spread out everywhere,咖啡店～,xīng luó qí bù,S E 
工资,wage,～低,gōng zī,S E N
高峰时间,Peak hour,,gāo fēng shí jiān,S E N
顾此失彼,Can have one can't have both,,gù cǐ shī bǐ,M
频频出错,Repeatedly make mistakes,,pín pín chū cuò,AC B
情绪,Morale,～问题,qíng xù,B
犹豫不决,Hesitate,,yóu yù bù jué,AC B
潮流,trend,科技～,cháo liú,SM B
市井小民,Heartlands,,shì jǐng xiǎo mín,CA N
普罗大众,The general public,,pǔ luó dà zhòng,S
年久失修,Grow old and dilapidated,,nián jiǔ shī xiū,AC 
混泥土,Cement,～脱落,hùn ní tǔ,N
美轮美奂,Magnificant / Grand,房子～,měi lún měi huàn,A
焕然一新,Look brand new,,huàn rán yī xīn,A
砖,Tile,地～；壁～,zhuān,N
热水器,Water heater,,rè shuǐ qì,N
晾衣架,HDB Drying rack,,liàng yī jià,N CA
翻新,Upgrade,～祖屋,fān xīn,AC S
装修商,Contractor,找～,zhuāng xiū shāng,N
美观,Beautiful,房子～,měi guān,A
售价,Selling price,房子～,shòu jià,N
引起,cause,～火灾,yǐn qǐ,AC
扶手,armrest,,fú shǒu,N
视野,Field of view,走进大众～,shì yě,N S B
视频网,Youtube esque platforms,,shì pín wǎng,N T CA SM
直播,Live stream,,zhí bō,N T SM
浏览,Browse,～账号,liú lǎn,AC SM
截图,Screenshot,,jié tú,SM T AC
存档,Save,～信息,cún dàng,SM T AC
账号,Account,社交网～,zhàng hào,N SM T
帖子,Post (social media),,tiè zǐ,N SM CA I
“凡走过必留痕迹”,Leave a trace of what you've done,,“ fán zǒu guò bì liú hén jì ”,M I
酸葡萄,Sour (feeling),～心理,suān pú táo,B A
唯恐天下不乱,Want to cause chaos,,wéi kǒng tiān xià bù luàn,B S
奉承,Flatter,,fèng chéng,AC B S
键盘侠,Keyboard warrior,,jiàn pán xiá,T N SM CA I
隐匿,Anonymous,网络的～性,yǐn nì,SM T S B I
同志,LGBTQ,,tóng zhì,N CA
“出柜”,Come out of the closet,承认自己～,“ chū guì ”,AC
食古不化,Unwilling to change,,shí gǔ bù huà,B S A
蔑视人权,Overlook human rights,,miè shì rén quán,B S AC A
姑且不论,Accept witout discussion,～有争议性的话题,gū qiě bù lùn,AC S
争议性,Controversial,同性恋这个具有～的话题,zhēng yì xìng,CA A
炫富,show off wealth,网红～,xuàn fù,AC
言语暴力,Flame someone,对他进行～,yán yǔ bào lì,AC SM S B
煽动,Fan the fire,,shān dòng,AC A B
过激,Extreme,～的行为,guò jī,A
尖酸刻薄,Bitter,,jiān suān kè báo,A B
显示,Show clearly,这～他的感情,xiǎn shì,AC
展示,Display and show,～在网络上,zhǎn shì,AC
展览,Exhibition,举办～,zhǎn lǎn,M
夜猫子,Nocturnal animal,晚上不睡觉的～,yè māo zǐ,N B
自动化,Automate,办公～,zì dòng huà,CA T I
开拓,Open up,～新领域,kāi tuò,AC
辟建,Build,～老人院,bì jiàn,AC
扩充,Expand,～营业,kuò chōng,AC
落成,Built / Completed ,学校～；地铁站～,luò chéng,A
领域,Area / Field,科学～；教育～,lǐng yù,S N
航运,Sea and air transport,～枢纽,háng yùn,N S
枢纽,Central network / core,交通～；经济～,shū niǔ,I N S E
跨国,Cross / inter-,～公司 (mnc),kuà guó,A
国际,Cross nation (2 or more),～分享,guó jì,A S
组织,Organisation,～犯罪,zǔ zhī,S N
机构,Organisation (bigger),慈善及～,jī gòu,S N
凭空捏造,Baseless ,,píng kōng niē zào,A
考察,Recce / See and look,出国～,kǎo chá,AC
采纳,Accept and use,～意见,cǎi nà,AC
接纳,Accept,～人,jiē nà,AC
窥探,Spy,,kuī tàn,AC
审核,Vett,～文件；～账目,shěn hé,AC
候补,Reserve,～球员,hòu bǔ,A
弥补,make up for,～损失；～不足,mí bǔ,AC B
宜居城市,Liveable city,,yí jū chéng shì,I N S E T
交通物流,Flow of goods,安排高效的～,jiāo tōng wù liú,S E N
实体店,Physical store,,shí tǐ diàn,S N T E
路线,Route,规划～,lù xiàn,E N
收集数据,Gather data,,shōu jí shù jù,AC S
高行政 ,Admin,～效率著称,gāo xíng zhèng &nbsp;,N
转账,Make a transfer (monetary),安全～,zhuǎn zhàng,AC E
流动通信,Mobile data,,liú dòng tōng xìn,N T
优化,Modify / Make it better,～硬件设施,yōu huà,AC
硬件设施,Infrastructure,,yìng jiàn shè shī,I E S N
识别系统,Perosnal data,,shí bié xì tǒng,N T S
登陆,Login,～平台,dēng lù,T AC
山穷水尽,"No path to take, helpless",,shān qióng shuǐ jìn,B
主旨,Main objective,,zhǔ zhǐ,B N
宗旨,Objective,,zōng zhǐ,B N
千钧一发,In great danger,,qiān jūn yī fā,A
九死一生,Very dangerous,,jiǔ sǐ yī shēng,A
迫在眉睫,"Urgent, imminent",,pò zài méi jié,A I
当务之急,Urgent priority,,dāng wù zhī jí,N
束手待毙,Do nothing and wait to die,,shù shǒu dài bì,B
一等莫展,"No way to, impossible",这是～,yī děng mò zhǎn,A
镇定自若,Calm and normal,,zhèn dìng zì ruò,B A
焦点,Focus,众人的～；把～放在他身上,jiāo diǎn,N
尴尬,Awkward,样子～,gān gà,B I
核心,"Core, important",～人物；～任务,hé xīn,A
扭转,Turn around ,～身子；～局面（Turn around the situation),niǔ zhuǎn,AC
调停,Mediate and stop,,diào tíng,AC
剥削,Exploit,～地球资源,bāo xiāo,AC EV
侵略,Invade,～别国,qīn l锟斤拷è,AC
巨额,Large amount of money,投入～,jù é,A
忽略,Ignore what should be considered,～心情,hū l锟斤拷è,AC
忽视,Ignore what was seen (physical),～责任,hū shì,AC
老态,Elderly in movement or bearing,易现～,lǎo tài,A
相提并论,Mention together,不能拿来～,xiāng tí bìng lùn,AC
口腹之欲,Eat,为了满足～,kǒu fù zhī yù,AC
巧立名目,Give a nice title to justify bad things,,qiǎo lì míng mù,I AC
大费周章,Go through a lot of trouble,,dà fèi zhōu zhāng,AC
无底洞,Bottomless pit,贪心是个～,wú dǐ dòng,N
不归路,The path of no return,,bù guī lù,N
名堂,Big title,,míng táng,N S
负荷,Work load,承受不少～,fù hé,N
老态龙钟,Old / Senile,看起～,lǎo tài lóng zhōng,A
暴殄天物,Waste products of nature (mostly food),,bào tiǎn tiān wù,AC EV
殊不知,Not knowing that,,shū bù zhī,C B AC
糟蹋,"Waste, destroy",～身体；～食物,zāo tà,AC EV
作孽,Do evil,,zuò niè,AC
美中不足,A blemish in an otherwise perfect thing,,měi zhōng bù zú,N
防毒软件,Antivirus software,,fáng dú ruǎn jiàn,T N
酷热难耐,Hot and unbearable,天气～,kù rè nán nài,EV A
变化莫测,Unpredictable and changeable,天气更加～,biàn huà mò cè,EV A
雾霾,Haze,,wù mái,EV N
暴雨,Rainstorm / Torrential rain,,bào yǔ,EV N
制定政策,Formulate a policy,,zhì dìng zhèng cè,G
二氧化碳,CO2,,èr yǎng huà tàn,EV N
碳排量,Carbon footprint,,tàn pái liáng,EV N
预期,Anticipate,达到～效果 （Achive desired results),yù qī,A
空调,Air conditioner,～温度,kōng diào,T
离谱,Go too far / Go beyond normal,低的～,lí pǔ,A
消耗,Consume / Expend,～电源,xiāo hào,AC EV
全球暖化,Global warming,加剧～,quán qiú nuǎn huà,EV N
路税,Road Tax,,lù shuì,G N
生态平衡,Ecological balance,,shēng tài píng héng,EV N I
致力于,Devote oneself to / Decicate self to,,zhì lì yú,B
自然采光,Natural light,利用～,zì rán cǎi guāng,EV N
开放式设计,Open concept,采用～，让建筑物通风,kāi fàng shì shè jì,EV N
通风,to ventilate,让室内～,tōng fēng,EV AC
通风系统,Ventilation system,,tōng fēng xì tǒng,EV N
吊扇,Hanging fan,装上～,diào shàn,T
驱散热气,Dispel the heat,,qū sàn rè qì,EV AC
感应器,Sensor,,gǎn yīng qì,T
永续,Sustainable,～发展；～城市,yǒng xù,EV I
树荫,Tree shade,提供～，让人凉爽,shù yīn,EV
砍伐树林,Deforestation,大量～,kǎn fá shù lín,EV AC
栖息之地,Habitat,动物失去～,qī xī zhī dì,EV N
稀有动物,Endangered animals,～濒临绝种,xī yǒu dòng wù,EV N
濒临绝种,On the verge of extinction,稀有动物～,bīn lín jué zhǒng,EV A
洁净能源,Clean energy,使用～,jié jìng néng yuán,EV T
树木是大自然的清道夫,Trees help clean the enviroment,,shù mù shì dà zì rán de qīng dào fū,EV
交易,Buisness transaction / deal,～行为,jiāo yì,E
提款,Draw money,,tí kuǎn,E
转账,Transfer accounts,,zhuǎn zhàng,E
迫切感,Urgency,～没那么大,pò qiē gǎn,N
舒服安逸,Easy and safe,生活～,shū fú ān yì,A
冒险精神,Willingness to take risks and explore,缺乏～,mào xiǎn jīng shén,N B
横行,Run amuck,黑客在网上～,héng xíng,AC
投资家,Investor,流失～,tóu zī jiā,N E
便捷,Convenient,生活更加～,biàn jié,A
遨游,Travel / Roam,～于互联网的世界,áo yóu,AC
银行,Bank,,yín xíng,N E
莫过于,Nothing can surpass,最重要的～加强教育,mò guò yú,C
不谙科技,Not familar with technology,～的年长者,bù ān kē jì,A T
掉队,Fall behind,避免人们～,diào duì,AC
回扣,Monetary benefit (payout),获得～,huí kòu,G E
津贴,Allowance,,jīn tiē,E
指纹认证,Fingerprint password,采用～,zhǐ wén rèn zhèng,T
网络会议室,Online conference,开办～,wǎng luò huì yì shì,T
转移到网络,Go online,,zhuǎn yí dào wǎng luò,AC T
一呼百应,Good response,民众～,yī hū bǎi yīng,B S
无穷潜力,Infinite potential,科技的～,wú qióng qián lì,I T
趁势而上,Make use of the growing trend to improve,必须～,chèn shì ér shàng,T S
与时并进,Progress with the chaging age,,yǔ shí bìng jìn,T S I
“家常便饭”,Commom occurance / Routine,使用网络是～,“ jiā cháng biàn fàn ”,T A
网上资料浩如烟海,Information on the internet is vast,,wǎng shàng zī liào hào rú yān hǎi,T
学习风格,Learning styles,满足不同～,xué xí fēng gé,EDU
通讯软件,Communication software,通过～,tōng xùn ruǎn jiàn,T 
教育应用程序,Teaching apps,～像一套课程,jiào yù yīng yòng chéng xù,T EDU
微软简报,Powerpoint presentation,,wēi ruǎn jiǎn bào,EDU T
益智游戏,Educational games,,yì zhì yóu xì,EDU T
互动性学习,Engaging lessons,～的乐趣,hù dòng xìng xué xí,EDU
参与感,Participation,～加强,cān yǔ gǎn,EDU G
“兴奋是最好的老师”,Interest in a topic drives learning,,“ xīng fèn shì zuì hǎo de lǎo shī ”,EDU
动手操作,Practical / Hands on,～的科目,dòng shǒu cāo zuò,EDU
青春叛逆期,Rebelious teenage phase,学生正～,qīng chūn pàn nì qī,EDU B
预录课堂,Prerecorded lessons,把～上传到网上,yù lù kè táng,EDU T
屏幕,Screen,面对～,píng mù,T
